school_id,school_name,region,grade,gender,year,enrollment,performance_score,ingestion_timestamp
38,School_38,West,7,F,2023,87,99.54,2026-02-26 09:07:03.566365
28,School_28,North,2,M,2020,159,62.0,2026-02-26 09:07:03.566365
14,School_14,West,1,F,2023,130,82.16,2026-02-26 09:07:03.566365
42,School_42,North,9,M,2024,157,70.45,2026-02-26 09:07:03.566365
7,School_7,West,1,F,2021,79,93.3,2026-02-26 09:07:03.566365
20,School_20,South,6,M,2022,146,73.84,2026-02-26 09:07:03.566365
38,School_38,East,2,M,2024,49,88.59,2026-02-26 09:07:03.566365
18,School_18,West,4,F,2023,133,81.58,2026-02-26 09:07:03.566365
22,School_22,North,6,F,2021,171,81.66,2026-02-26 09:07:03.566365
10,School_10,East,5,F,2021,88,94.32,2026-02-26 09:07:03.566365
10,School_10,North,11,F,2024,32,78.82,2026-02-26 09:07:03.566365
23,School_23,South,6,M,2020,28,93.82,2026-02-26 09:07:03.566365
35,School_35,East,3,M,2021,165,74.54,2026-02-26 09:07:03.566365
39,School_39,North,5,F,2022,182,66.99,2026-02-26 09:07:03.566365
23,School_23,West,2,F,2023,151,78.22,2026-02-26 09:07:03.566365
2,School_2,South,7,M,2023,188,79.93,2026-02-26 09:07:03.566365
21,School_21,South,3,F,2023,45,79.14,2026-02-26 09:07:03.566365
1,School_1,South,1,M,2024,144,92.33,2026-02-26 09:07:03.566365
23,School_23,West,8,F,2023,63,82.59,2026-02-26 09:07:03.566365
43,School_43,West,8,F,2023,189,95.54,2026-02-26 09:07:03.566365
29,School_29,East,3,M,2022,29,80.57,2026-02-26 09:07:03.566365
37,School_37,West,7,M,2020,124,68.99,2026-02-26 09:07:03.566365
1,School_1,East,9,F,2024,125,65.18,2026-02-26 09:07:03.566365
20,School_20,South,8,M,2024,20,94.73,2026-02-26 09:07:03.566365
32,School_32,East,3,F,2023,163,62.25,2026-02-26 09:07:03.566365
11,School_11,North,2,M,2022,65,64.7,2026-02-26 09:07:03.566365
21,School_21,South,10,F,2021,160,62.55,2026-02-26 09:07:03.566365
43,School_43,South,7,F,2023,83,76.95,2026-02-26 09:07:03.566365
24,School_24,East,7,F,2023,97,81.3,2026-02-26 09:07:03.566365
48,School_48,South,9,M,2024,106,60.79,2026-02-26 09:07:03.566365
26,School_26,West,5,M,2024,82,80.62,2026-02-26 09:07:03.566365
41,School_41,North,4,M,2023,165,75.75,2026-02-26 09:07:03.566365
27,School_27,East,8,M,2024,80,90.95,2026-02-26 09:07:03.566365
15,School_15,East,4,F,2022,111,93.2,2026-02-26 09:07:03.566365
